OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-06-01T00:00:00,2020-06-30T23:59:59,Month,2020-06,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,171944,226095,147041,119789,91322
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-05-01T00:00:00,2020-05-31T23:59:59,Month,2020-05,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,186848,245247,166062,134154,98742
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-05-01T00:00:00,2020-05-31T23:59:59,Month,2020-05,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,155097,212657,133605,107155,80144
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-05-01T00:00:00,2020-05-31T23:59:59,Month,2020-05,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,176836,218297,150798,119641,87055
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-05-01T00:00:00,2020-05-31T23:59:59,Month,2020-05,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,157518,253251,171001,131150,103666
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-05-01T00:00:00,2020-05-31T23:59:59,Month,2020-05,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,207355,251424,171376,141145,98854
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-05-01T00:00:00,2020-05-31T23:59:59,Month,2020-05,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,192321,238071,163546,133431,86303
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-05-01T00:00:00,2020-05-31T23:59:59,Month,2020-05,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,224313,314930,204154,164035,112062
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-05-01T00:00:00,2020-05-31T23:59:59,Month,2020-05,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,170874,224849,145953,118972,91145
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-04-01T00:00:00,2020-04-30T23:59:59,Month,2020-04,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,186853,245624,165698,134086,98864
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-04-01T00:00:00,2020-04-30T23:59:59,Month,2020-04,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,154186,211549,132571,106576,80163
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-04-01T00:00:00,2020-04-30T23:59:59,Month,2020-04,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,179177,221394,152521,121216,88194
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-04-01T00:00:00,2020-04-30T23:59:59,Month,2020-04,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,156352,251102,169473,130337,103106
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-04-01T00:00:00,2020-04-30T23:59:59,Month,2020-04,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,207356,251519,171108,141303,99123
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-04-01T00:00:00,2020-04-30T23:59:59,Month,2020-04,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,191011,236803,162065,132442,85808
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-04-01T00:00:00,2020-04-30T23:59:59,Month,2020-04,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,224071,314927,203435,164033,112114
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-04-01T00:00:00,2020-04-30T23:59:59,Month,2020-04,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,170588,224664,145435,118792,90965
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-03-01T00:00:00,2020-03-31T23:59:59,Month,2020-03,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,185220,243438,164364,132730,98456
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-03-01T00:00:00,2020-03-31T23:59:59,Month,2020-03,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,156274,214402,134460,107811,81838
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-03-01T00:00:00,2020-03-31T23:59:59,Month,2020-03,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,173652,214427,147965,117293,86178
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-03-01T00:00:00,2020-03-31T23:59:59,Month,2020-03,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,155430,249236,168605,129317,103587
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-03-01T00:00:00,2020-03-31T23:59:59,Month,2020-03,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,210363,254928,173878,143241,101368
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-03-01T00:00:00,2020-03-31T23:59:59,Month,2020-03,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,187679,232660,159362,129819,84771
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2021-02-17T00:00:00,,2020-03-01T00:00:00,2020-03-31T23:59:59,Month,2020-03,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,218949,307416,198973,160119,110347
